date,stock_id,stock_name
2025-01-14,3362,先進光
2025-01-14,3363,上詮
2025-01-14,3376,新日興
2025-01-14,3406,玉晶光
2025-01-14,3443,創意
2025-01-14,3450,聯鈞
2025-01-14,3491,昇達科
2025-01-14,3645,達邁
2025-01-14,3661,世芯-KY
2025-01-14,3694,海華
2025-01-14,3706,神達
2025-01-14,4303,信立
2025-01-14,4510,高鋒
2025-01-14,4540,全球傳動
2025-01-14,4549,桓達
2025-01-14,4561,健椿
2025-01-14,4562,穎漢
2025-01-14,4571,鈞興-KY
2025-01-14,4576,大銀微系統
2025-01-14,4583,台灣精銳
2025-01-14,4912,聯德控股-KY
2025-01-14,4919,新唐
2025-01-14,4931,新盛力
2025-01-14,4968,立積
2025-01-14,4974,亞泰
2025-01-14,4977,眾達-KY
2025-01-14,4979,華星光
2025-01-14,4991,環宇-KY
2025-01-14,5243,乙盛-KY
2025-01-14,5309,系統電
2025-01-14,5347,世界
2025-01-14,5371,中光電
2025-01-14,5388,中磊
2025-01-14,5392,能率
2025-01-14,5439,高技
2025-01-14,5474,
2025-01-14,5522,遠雄
2025-01-14,5536,聖暉*
2025-01-14,6104,創惟
2025-01-14,6187,萬潤
2025-01-14,6191,精成科
2025-01-14,6214,精誠
2025-01-14,6215,和椿
2025-01-14,6223,旺矽
2025-01-14,6231,系微
2025-01-14,6245,
2025-01-14,6285,啟碁
2025-01-14,6415,矽力*-KY
2025-01-14,6438,迅得
2025-01-14,6442,光聖
2025-01-14,6446,藥華藥
2025-01-14,6451,訊芯-KY
2025-01-14,6531,愛普*
2025-01-14,6546,正基
2025-01-14,6558,興能高
2025-01-14,6683,雍智科技
2025-01-14,6689,
2025-01-14,6706,惠特
2025-01-14,6757,台灣虎航
2025-01-14,6781,AES-KY
2025-01-14,6789,采鈺
2025-01-14,6805,富世達
2025-01-14,6919,康霈*
2025-01-14,6937,天虹
2025-01-14,8028,昇陽半導體
2025-01-14,8033,雷虎
2025-01-14,8054,
2025-01-14,8086,宏捷科
2025-01-14,8111,立碁
2025-01-14,8234,新漢
2025-01-14,8249,菱光
2025-01-14,8996,
2025-01-14,9105,
2025-01-14,9941,裕融
2025-01-15,1536,和大
2025-01-15,1597,直得
2025-01-15,1815,富喬
2025-01-15,2049,上銀
2025-01-15,2233,宇隆
2025-01-15,2312,金寶
2025-01-15,2328,
2025-01-15,2332,友訊
2025-01-15,2345,智邦
2025-01-15,2348,海悅
2025-01-15,2359,所羅門
2025-01-15,2365,昆盈
2025-01-15,2371,大同
2025-01-15,2374,佳能
2025-01-15,2392,正崴
2025-01-15,2486,一詮
2025-01-15,2498,宏達電
2025-01-15,3019,亞光
2025-01-15,3025,星通
2025-01-15,3029,零壹
2025-01-15,3032,偉訓
2025-01-15,3041,揚智
2025-01-15,3059,華晶科
2025-01-15,3078,僑威
2025-01-15,3088,艾訊
2025-01-15,3147,大綜
2025-01-15,3163,波若威
2025-01-15,3167,大量
2025-01-15,3189,景碩
2025-01-15,3211,順達
2025-01-15,3230,錦明
2025-01-15,3264,欣銓
2025-01-15,3323,加百裕
2025-01-15,3362,先進光
