date,stock_id,stock_name,close,avg_amount_20d,big_amount,today_amount
2025-09-24,5392,能率,50.0,766053681.95,3000000,1707054620.0
2025-09-24,6739,竹陞科技,859.0,617686529.55,2500000,1086409097.0
2025-09-24,6770,力積電,23.45,1527929289.55,6000000,5992042796.0
2025-09-25,2324,仁寶,34.5,909038166.25,3500000,4367624227.0
2025-09-25,3016,嘉晶,61.3,526236023.75,2000000,706087398.0
2025-09-25,3583,辛耘,426.5,663729320.15,2500000,5061101621.0
2025-09-25,3708,上緯投控,125.5,585525920.75,2500000,1314414514.0
2025-09-26,1605,華新,26.2,717321935.4,3000000,1138688565.0
2025-09-26,5392,能率,58.4,1025169917.05,4000000,3067728004.0
2025-09-26,8021,尖點,98.6,2377759931.75,9500000,6341487284.0
2025-10-01,3231,緯創,140.5,4840950850.5,19000000,15420914378.0
2025-10-01,3260,威剛,157.0,2302157768.85,9000000,3821973045.0
2025-10-01,3376,新日興,260.0,1113878444.25,4500000,3162226192.0
2025-10-01,4722,國精化,192.5,1339549657.65,5500000,1780764703.0
2025-10-01,6770,力積電,25.4,2500792982.65,10000000,3870641056.0
2025-10-01,8021,尖點,101.0,3114008316.1,12000000,4683350871.0
2025-10-02,1504,東元,104.5,8058539000.35,32000000,7678481475.0
2025-10-02,6739,竹陞科技,944.0,748318317.4,3000000,1066501994.0
2025-10-02,6770,力積電,27.9,2687503511.95,11000000,11027525704.0
2025-10-02,8021,尖點,111.0,3335297176.8,13000000,3607502998.0
2025-10-03,1504,東元,114.5,8366426330.25,33000000,18187181718.0
2025-10-03,8299,群聯,796.0,3608828942.15,14000000,10278334368.0
2025-10-03,8996,,395.0,1202111083.8,5000000,5114825624.0
2025-10-07,3006,晶豪科,82.5,1176487624.65,4500000,4438232906.0
2025-10-07,4722,國精化,214.5,1670858586.05,6500000,4092426240.0
2025-10-07,6449,鈺邦,220.5,1028721969.65,4000000,1958364782.0
2025-10-07,8046,南電,254.0,4667378396.5,19000000,11203281708.0
2025-10-08,1605,華新,27.75,1273753441.75,5000000,4658297981.0
2025-10-08,1802,台玻,30.55,2459793375.15,10000000,4238836130.0
2025-10-08,1815,富喬,74.6,5321490047.9,21000000,8455501331.0
2025-10-08,2344,華邦電,42.65,12538171535.65,50000000,11465121331.0
2025-10-08,4967,十銓,98.7,765886985.55,3000000,1512621350.0
2025-10-08,6531,愛普*,398.0,1367358000.5,5500000,3549034231.0
2025-10-08,6770,力積電,29.9,4191997189.75,17000000,10772212292.0
2025-10-08,8358,金居,256.5,15421206838.85,50000000,18443092861.0
2025-10-09,4967,十銓,108.5,827296615.35,3500000,3102859842.0
2025-10-09,5289,宜鼎,368.5,1332914406.15,5500000,2275917968.0
2025-10-13,2329,華泰,52.4,712823013.15,3000000,3427671662.0
2025-10-13,3189,景碩,137.5,1233275871.35,5000000,4574520594.0
2025-10-13,5289,宜鼎,405.0,1359464009.95,5500000,3225010633.0
2025-10-14,4967,十銓,125.0,1309492119.3,5000000,5692923557.0
2025-10-15,2609,陽明,56.7,759011066.2,3000000,5244868535.0
2025-10-15,6282,康舒,36.1,501786255.35,2000000,1465905581.0
2025-10-15,8996,,460.5,1935382403.1,7500000,1411565260.0
2025-10-16,2481,強茂,84.8,1413275867.0,5500000,6331373065.0
