日期,代碼,名稱,成交金額
2025-04-29,4931,新盛力,3018280056.0
2025-04-29,8096,擎亞,1249282290.0
2025-04-29,2049,上銀,2210330785.0
2025-04-29,4583,台灣精銳,1099140125.0
2025-04-29,6215,和椿,1375979267.0
2025-04-29,8072,陞泰,948848403.0
2025-04-29,4949,有成精密,1118006766.0
2025-04-29,6558,興能高,1082120534.0
2025-04-29,2359,所羅門,1378288509.0
2025-04-29,1560,中砂,1285788490.0
2025-04-29,5251,天鉞電,801766250.0
2025-04-30,6215,和椿,2070364703.0
2025-04-30,4510,高鋒,1280435363.0
2025-05-02,2383,台光電,5600479978.0
2025-05-02,4931,新盛力,5968387329.0
2025-05-02,3665,貿聯-KY,2927273093.0
2025-05-02,4303,信立,2129015978.0
2025-05-02,1815,富喬,1610001622.0
2025-05-02,6558,興能高,2861986405.0
2025-05-02,2360,致茂,1196334326.0
2025-05-02,5314,世紀*,133862778.0
2025-05-02,2606,裕民,714377512.0
2025-05-02,1316,上曜,330173023.0
2025-05-02,1514,亞力,474181952.0
2025-05-05,6757,台灣虎航,1579150106.0
2025-05-06,8222,寶一,3713057053.0
2025-05-06,5274,信驊,4670421195.0
2025-05-06,4541,晟田,1377796139.0
2025-05-06,8072,陞泰,502209183.0
2025-05-06,1560,中砂,1764378915.0
2025-05-06,6757,台灣虎航,4348206007.0
2025-05-06,5251,天鉞電,357422762.0
2025-05-06,5201,凱衛,1112388407.0
2025-05-06,8088,品安,168854760.0
2025-05-09,3450,聯鈞,7369798043.0
2025-05-09,4979,華星光,7295822809.0
2025-05-09,6442,光聖,4785696362.0
2025-05-09,6757,台灣虎航,2974886406.0
2025-05-09,3081,聯亞,1961617982.0
2025-05-09,6227,茂綸,244619500.0
2025-05-12,3661,世芯-KY,6547709825.0
2025-05-12,6215,和椿,1862160285.0
2025-05-12,3563,牧德,941472813.0
2025-05-12,5314,世紀*,866597779.0
2025-05-12,6227,茂綸,1481576680.0
2025-05-13,2408,南亞科,5857822771.0
2025-05-13,8069,元太,3958812693.0
2025-05-13,4576,大銀微系統,1387720663.0
2025-05-13,8088,品安,407584280.0
2025-05-14,2408,南亞科,11203078168.0
2025-05-14,4991,環宇-KY,2528191670.0
2025-05-14,2449,京元電子,3872271516.0
2025-05-14,3013,晟銘電,1891548309.0
2025-05-14,2543,皇昌,1786594716.0
2025-05-14,4749,新應材,1039700695.0
2025-05-14,8464,億豐,1533260186.0
2025-05-15,6140,訊達,788563960.0
2025-05-15,2404,漢唐,2957426854.0
2025-05-16,2615,萬海,15802522850.0
2025-05-16,3131,弘塑,2360226845.0
2025-05-16,1503,士電,3238062687.0
2025-05-19,4949,有成精密,788633047.0
2025-05-19,6869,雲豹能源,2216565137.0
2025-05-20,3661,世芯-KY,6779522785.0
2025-05-20,6140,訊達,1109593642.0
2025-05-20,8072,陞泰,358469922.0
2025-05-20,4949,有成精密,4155563250.0
2025-05-20,5251,天鉞電,590278513.0
2025-05-20,3434,哲固,668518910.0
2025-05-21,5439,高技,3908182872.0
2025-05-21,2368,金像電,6017472911.0
2025-05-22,2615,萬海,13048866241.0
2025-05-22,6191,精成科,3630954443.0
2025-05-23,4949,有成精密,1912837209.0
2025-05-26,6781,AES-KY,2361742489.0
2025-05-26,6515,穎崴,3963122305.0
2025-05-26,3379,彬台,719561960.0
2025-05-26,6213,聯茂,2673823160.0
2025-05-26,4562,穎漢,256067777.0
2025-05-27,3004,豐達科,1657138398.0
2025-05-29,6890,,1072455586.0
2025-06-02,8222,寶一,1474806101.0
2025-06-03,5251,天鉞電,1050681626.0
2025-06-03,8072,陞泰,1137865388.0
2025-06-04,4763,,5359422772.0
2025-06-04,3379,彬台,799600592.0
2025-06-04,9958,世紀鋼,2675683336.0
2025-06-04,4562,穎漢,218116411.0
2025-06-04,3167,大量,1217862095.0
2025-06-06,3167,大量,1083851440.0
2025-06-09,6274,台燿,7414226949.0
2025-06-09,3167,大量,5826800815.0
2025-06-09,2429,銘旺科,1327449485.0
2025-06-10,3013,晟銘電,2106442308.0
2025-06-10,3081,聯亞,1610682954.0
2025-06-10,8996,,1282049063.0
2025-06-10,2374,佳能,1721020819.0
2025-06-10,5443,均豪,864765104.0
2025-06-10,2429,銘旺科,3592288025.0
2025-06-10,6658,聯策,594986664.0
2025-06-11,4979,華星光,8710896596.0
2025-06-11,6805,富世達,5838449848.0
2025-06-11,4949,有成精密,856814599.0
2025-06-11,3081,聯亞,3193153581.0
2025-06-11,6290,良維,2587024843.0
2025-06-11,4991,環宇-KY,1158080945.0
2025-06-12,3324,雙鴻,5086613377.0
2025-06-12,4931,新盛力,1523845932.0
2025-06-12,2468,華經,1782135234.0
2025-06-12,6148,驊宏資,1388626093.0
2025-06-12,6140,訊達,544682465.0
2025-06-12,8054,,1182532065.0
2025-06-12,6890,,1033751484.0
2025-06-16,3450,聯鈞,6223712507.0
2025-06-16,8210,勤誠,2614729830.0
2025-06-16,4991,環宇-KY,3879505686.0
2025-06-16,1616,億泰,636209172.0
2025-06-17,4949,有成精密,873736478.0
2025-06-17,5251,天鉞電,2887368066.0
2025-06-17,3147,大綜,1217107868.0
2025-06-17,6412,群電,489706945.0
2025-06-17,1616,億泰,525349130.0
2025-06-17,3297,杭特,916165926.0
2025-06-18,2408,南亞科,10551568386.0
2025-06-18,3013,晟銘電,5818350299.0
2025-06-18,8210,勤誠,4565054043.0
2025-06-18,3376,新日興,4462581121.0
2025-06-18,3294,英濟,787685184.0
2025-06-19,3376,新日興,9580891771.0
2025-06-20,6139,亞翔,8740710204.0
2025-06-20,5251,天鉞電,2516210026.0
2025-06-20,3297,杭特,347326569.0
2025-06-23,3037,欣興,6535969551.0
2025-06-23,6139,亞翔,9557679191.0
2025-06-23,5443,均豪,2126457804.0
2025-06-23,6640,均華,1511644151.0
2025-06-24,2357,華碩,8129846720.0
2025-06-24,4991,環宇-KY,2197650379.0
2025-06-24,1560,中砂,3143469705.0
2025-06-24,3363,上詮,3218874981.0
2025-06-24,8054,,1665018857.0
2025-06-24,8072,陞泰,706261725.0
2025-06-24,2328,,2070763987.0
2025-06-24,4510,高鋒,629438297.0
2025-06-25,4931,新盛力,3732069572.0
2025-06-25,3443,創意,5664825560.0
2025-06-25,3211,順達,8290251958.0
2025-06-25,8054,,2812570845.0
2025-06-26,4931,新盛力,1659947822.0
2025-06-26,2360,致茂,3620615146.0
2025-06-26,3036,文曄,5460307036.0
2025-06-26,3297,杭特,424729539.0
2025-06-27,6191,精成科,5424839935.0
2025-06-27,3491,昇達科,2342710624.0
2025-06-27,3374,精材,4707801838.0
2025-06-27,3297,杭特,1684201545.0
2025-06-27,3128,昇銳,527732186.0
2025-06-30,3128,昇銳,929521425.0
2025-06-30,3535,晶彩科,1677657090.0
2025-06-30,3515,華擎,496139746.0
2025-07-01,4991,環宇-KY,2187009676.0
2025-07-01,4931,新盛力,2432631084.0
2025-07-01,3297,杭特,790999676.0
2025-07-01,6117,迎廣,1005337055.0
2025-07-01,3515,華擎,2721737444.0
