date,stock_id,stock_name,close,avg_amount_20d,big_amount,today_amount,is_disposal
2026-01-08,6643,M31,451.5,162559637,1000000,976701389,-
2026-01-08,3693,營邦,323.5,151116118,1000000,162659603,-
2026-01-08,6116,彩晶,10.6,111522198,1000000,373656279,-
2026-01-08,4973,廣穎,44.1,102986002,1000000,547893746,-
2026-01-08,2342,茂矽,36.15,56464007,1000000,597905251,-
2026-01-08,3372,典範,22.65,54442129,1000000,97489998,-
2026-01-08,8105,凌巨,15.0,20093344,1000000,415050292,-
2026-01-08,6465,,36.9,20027682,1000000,8368643,-
2026-01-08,8215,明基材,22.2,11571327,1000000,240839972,-
2026-01-08,1789,神隆,20.65,10277522,1000000,22392145,-
2026-01-08,3027,盛達,24.55,7564078,1000000,36407722,-
2026-01-08,3669,,38.7,6282717,1000000,10317875,-
2026-01-08,2030,彰源,15.7,5382563,1000000,59013182,-
2026-01-08,3437,榮創,15.45,4622930,1000000,23010781,-
2026-01-08,8059,凱碩,20.35,4562316,1000000,12581816,-
2026-01-08,2032,新鋼,16.3,4401247,1000000,36815061,-
2026-01-08,2038,海光,15.6,3698276,1000000,37856102,-
2026-01-08,2025,千興,11.8,3435641,1000000,13397540,-
2026-01-08,5014,建錩,11.0,1651744,1000000,15044760,-
2026-01-08,5011,久陽,10.75,1610416,1000000,6035365,-
2026-01-08,2028,威致,18.85,1330534,1000000,19206812,-
